Coreano,Portugues
것,coisa
하다,fazer
있다,há
되다,tornar-se
나,meu
없다,não existe
사람,pessoa
우리,nós
아니다,não
같다,É a mesma coisa.
대하다,subtender
년,ano
때문,porque
말하다,dizer
위하다,fazer por
그러나,no entanto
알다,saber
그렇다,Isso mesmo.
또,também
사회,sociedade
많다,Existem muitos
좋다,boa noite
더,mais
받다,receber
그것,que
집,casa
나오다,sair
그리고,e
문제,problema
그런,que
살다,ao vivo
생각하다,pensar
모르다,Não sei
속,dentro
만들다,fazer
데,lugar
두,dois
앞,frente
경우,caso
중,meio
어떤,qual
잘,bem
그녀,Ela
오다,vir
문화,cultura
생각,pensamento
어떻다,Como é
명,número de pessoas
통하다,passar
그러다,Então
소리,som
다시,de novo
다른,diferente
이런,esse
여자,fêmea
정도,grau
뒤,voltar
듣다,ouvir
좀,um pouco
싶다,parece
함께,junto
지나다,passar
많이,muitos
너,você
주다,dar
인간,ser humano
이렇다,É assim mesmo
어머니,mãe
의하다,ser devido a
시대,vezes
다음,próximo
이러하다,É assim mesmo
누구,Quem
곳,lugar
여러,diversos
세계,mundo
운동,dar certo
퍼센트,por cento
학교,escola
대통령,presidente
시작하다,começar
바로,assim que
어느,qualquer
무엇,o que
정부,governo
모든,todo
번,o
그거,que
돈,dinheiro
국가,nação
그런데,no entanto
날,meu
여기,aqui
여성,fêmea
친구,amigo
마음,mente
후,depois
가다,ir
관계,relação
아버지,pai
남자,homem
몸,corpo
얼굴,face
들어가다,digitar
왜,por que
나타나다,aparecer
지역,região
다르다,diferente
모습,figura
물,água
만나다,encontrar
보이다,mostrar
이것,esse
없이,sem
이번,desta vez
길,estrada
생활,vida
뿐,apenas
사이,entre
방법,método
새롭다,ser novo
우리나라,Nosso país
내다,dar
앉다,sentar
처음,primeiro
손,mão
그때,naquela hora
삶,vida
찾다,encontrar
특히,especialmente
지금,agora
이야기,história
교육,educação
사다,comprar
경제,economia
아직,ainda
잡다,agarrar
같이,junto
선생님,professor
예술,arte
서다,ficar
역사,história
읽다,ler
결과,resultado
내용,detalhe
동안,durante
책,livro
일어나다,acordar
당신,você
넣다,anexo
중요하다,É importante
무슨,o que
느끼다,sentir
어렵다,difícil
힘,força
너무,também
나라,país
의미,significado
밝히다,definir
이미,já
정치,política
국민,pessoas
생명,vida
얘기,falar
학생,estudante
연구,pesquisar
엄마,mãe
이름,nome
하나,um
내리다,sair
사건,caso
및,e
쉽다,seja fácil
짓다,compor
또한,também
이유,razão
또는,ou
필요하다,precisar
글,escrita
생기다,acontecer
사용하다,usar
남편,marido
들어오다,entre
밖,Fora
세상,mundo
작다,ser pequeno
대학,universidade
작품,trabalhar
상황,situação
가운데,centro
보내다,solte
즉,em outras palavras
따라서,por isso
상태,situação
이후,desde
당시,naquela hora
문학,literatura
더욱,mais
아주,muito
높다,estar chapado
최근,recente
현실,realidade
환경,ambiente
컴퓨터,computador
먼저,primeiro
다니다,ir
얼마나,quanto
자체,Auto
열다,abrir
머리,cabeça
남다,permanecer
부분,trabalho em meio período
기업,empresa
거기,lá
변화,mudar
아들,filho
뜻,significado
아,ah
기다리다,espere
떨어지다,sair
선거,eleição
관하다,considerar
그냥,apenas
나누다,dividir
이용하다,usar
거의,quase
곧,breve
중심,centro
활동,atividade
관심,interesse
역시,também
이거,esse
광고,anúncio
나다,crescer
방,sala
정신,espírito
땅,terra
이루다,fazer
아침,manhã
웃다,rir
현상,fenómeno
두다,deitar
떠나다,deixar
기술,tecnologia
전체,inteiro
얻다,pegar
아름답다,lindo
끝,fim
민족,nação
조사,inspeção
듯,Parece
입,boca
뭐,o que
그대로,assim
영화,filme
필요,necessário
하늘,céu
년대,anos
과학,ciência
듯하다,parece
자연,natureza
구조,estrutura
결국,afinal
밥,arroz
입다,colocar
오히려,em vez de
프로그램,programa
이루어지다,para se tornar realidade
하루,dia
그림,pintura
마시다,bebida
혼자,sozinho
나가다,sair
이제,agora
교수,professor
사랑,amor
전화,chamada telefônica
끝나다,fim
돌아오다,retornar
아빠,pai
걸리다,pendurar
지키다,proteger
한번,uma vez
커피,café
가슴,peito
길다,longo
바라보다,para olhar para
알아보다,descobrir
회사,empresa
맛,gosto
대부분,majoritariamente
산업,indústria
매우,muito
오르다,ascender
음식,comida
표정,expressão
일부,parte
요즘,recentemente
계획,plano
느낌,sentir
얼마,quanto
성격,personalidade
계속,continuar
세기,século
세우다,ereto
아내,esposa
가족,família
놓다,colocar
놀다,jogar
향하다,inclinar-se para
